Boro,Size,Latitude,Longitude
M,NA,40.839305,-73.936159
B,NA,40.60754,-73.984661
B,0.092,40.676312,-73.933182
X,0.16,40.814909,-73.906522
X,NA,40.822474,-73.907194
B,2.712,40.696324,-73.97578
M,0.058,40.803013,-73.940152
X,0.223,40.825997,-73.906723
X,NA,40.821675,-73.903546
B,0.094,40.687596,-73.958223
X,0.32,40.837907,-73.903201
B,0.036,40.670461,-73.886004
B,0.057,40.672292,-73.888329
B,0.213,40.667016,-73.91396
R,0.429,40.634234,-74.12114
Q,2.296,40.738139,-73.824944
B,0.689,40.669629,-73.979287
B,0.076,40.696355,-73.93473
X,NA,40.827899,-73.890901
M,0.06,40.807407,-73.950588
M,0.31,40.722502,-73.982582
B,0.185,40.692034,-73.93917
X,0.614,40.843482,-73.88086
M,0.057,40.799606,-73.937894
M,0.057,40.798797,-73.944151
B,NA,40.704359,-73.929634
X,0.11,40.832115,-73.929249
M,0.036,40.798286,-73.962719
M,0.64,40.725815,-73.979248
M,0.08,40.727809,-73.999159
X,0.19,40.835464,-73.925809
X,0.116,40.821362,-73.914154
X,NA,40.852536,-73.913333
B,0.068,40.6806,-73.957474
M,0.02,40.802809,-73.938552
B,0.065,40.661467,-73.952239
B,0.064,40.677378,-73.978845
B,0.244,40.693162,-73.919649
M,0.024,40.796976,-73.947034
M,1.09,40.723832,-73.991576
M,0.061,40.722453,-73.982423
M,0.045,40.796043,-73.932422
M,0.15,40.724508,-73.979851
M,0.046,40.712962,-73.990026
M,0.018,40.716553,-73.993092
X,0.459,40.863735,-73.83607
B,NA,40.676094,-73.97038
B,NA,40.662447,-73.936382
M,NA,40.80069,-73.962238
B,NA,40.664007,-73.94922
B,0.057,40.687995,-73.922006
B,0.165,40.694952,-73.913174
B,0.041,40.688959,-73.919063
B,0.039,40.684145,-73.955485
M,0.075,40.828472,-73.947418
M,0.057,40.788624,-73.948933
M,0.207,40.800245,-73.942524
Q,0.046,40.757942,-73.858287
B,0.072,40.675251,-73.953404
B,0.28,40.674461,-73.878498
X,0.057,40.824911,-73.875459
M,0.171,40.813563,-73.943564
Q,0.091,40.695304,-73.791536
B,0.257,40.673067,-73.905437
X,0.057,40.820733,-73.917663
X,0.193,40.821522,-73.889293
M,0.12,40.722917,-73.983563
M,0.039,40.827075,-73.947928
M,0.043,40.799757,-73.962476
X,0.272,40.831037,-73.894748
M,0.1,40.835442,-73.939039
B,NA,40.682591,-73.931996
B,0.275,40.668571,-73.886439
X,0.135,40.817871,-73.918523
B,0.073,40.674258,-73.932456
B,0.057,40.688836,-73.92789
B,0.321,40.666227,-73.886797
B,0.138,40.659785,-73.908199
X,NA,40.834816,-73.885082
B,0.034,40.716007,-73.957527
M,0.115,40.766411,-73.991989
B,0.179,40.713243,-73.938822
M,0.459,40.729801,-73.983057
M,0.224,40.721472,-73.978275
B,0.188,40.673773,-73.887768
M,0.052,40.807872,-73.951693
X,0.008,40.870002,-73.878875
B,0.023,40.663251,-73.981289
M,NA,40.744349,-74.000253
M,NA,40.765878,-73.988823
M,0.161,40.846542,-73.935205
B,NA,40.625662,-73.938265
Q,0.01,40.745526,-73.829309
B,0.735,40.682458,-73.917088
X,1.345,40.822665,-73.853366
Q,NA,40.72814,-73.863582
B,0.057,40.669564,-73.892328
B,0.689,40.677415,-73.908734
X,0.046,40.823174,-73.923326
B,0.069,40.637486,-73.985955
B,NA,40.627029,-73.989672
B,NA,40.648215,-73.946374
M,NA,40.798511,-73.949251
X,0.06,40.831804,-73.898396
B,NA,40.709647,-73.95465
M,NA,40.824714,-73.936841
M,NA,40.80247,-73.946716
B,NA,40.642031,-73.931151
X,NA,40.856586,-73.916198
X,NA,40.853423,-73.894463
B,NA,40.654704,-73.941089
M,NA,40.8063,-73.948013
B,NA,40.676094,-73.935688
X,NA,40.865593,-73.894758
B,0.04,40.612273,-73.986713
B,NA,40.64971,-73.966046
B,0.005,40.707104,-73.945475
B,0.035,40.657131,-73.928018
B,NA,40.677564,-74.005166
B,NA,40.633232,-73.954655
B,NA,40.675628,-73.985634
X,NA,40.854701,-73.913197
B,0.505,40.648044,-73.951891
M,NA,40.834899,-73.941085
B,0.023,40.657212,-73.888852
Q,NA,40.694119,-73.797003
Q,0.007,40.719071,-73.875437
B,0.3,40.674778,-73.885228
M,NA,40.762061,-73.995307
B,0.062,40.666063,-73.890503
B,NA,40.649347,-73.955793
B,NA,40.695633,-73.978215
B,0.032,40.686419,-73.979444
M,0.057,40.80598,-73.951098
B,0.023,40.678983,-73.976497
Q,NA,40.708898,-73.803938
Q,NA,40.718935,-73.912208
B,NA,40.678297,-73.965541
X,NA,40.857067,-73.898936
Q,NA,40.674991,-73.808371
M,NA,40.866706,-73.923948
M,NA,40.763894,-73.947916
B,NA,40.690145,-73.989132
X,0.367,40.807883,-73.917885
